x,y,k_rock,Cp_rock,rho_rock,T_surface,q_geothermal
25512649.522400,6687208.985010,3.100000,723.000000,2794.000000,6.606303,42.204025
25512749.522400,6687208.985010,3.100000,723.000000,2794.000000,6.607589,42.210373
25513949.522400,6687208.985010,3.200000,721.000000,2640.000000,6.645669,42.285095
25512649.522400,6687108.985010,3.100000,723.000000,2794.000000,6.609705,42.194649
25512749.522400,6687108.985010,3.100000,723.000000,2794.000000,6.611034,42.200977
25512849.522400,6687108.985010,3.100000,723.000000,2794.000000,6.612617,42.207306
25512949.522400,6687108.985010,3.100000,723.000000,2794.000000,6.614440,42.213638
25513549.522400,6687108.985010,3.200000,721.000000,2640.000000,6.631243,42.250965
25513649.522400,6687108.985010,3.200000,721.000000,2640.000000,6.635219,42.257099
25513749.522400,6687108.985010,3.200000,721.000000,2640.000000,6.639288,42.263233
25513849.522400,6687108.985010,3.200000,721.000000,2640.000000,6.643410,42.269367
25513949.522400,6687108.985010,3.200000,721.000000,2640.000000,6.647535,42.275501
25512649.522400,6687008.985010,3.100000,723.000000,2794.000000,6.612746,42.185272
25512749.522400,6687008.985010,3.100000,723.000000,2794.000000,6.614211,42.191582
25512849.522400,6687008.985010,3.100000,723.000000,2794.000000,6.615881,42.197891
25512949.522400,6687008.985010,3.100000,723.000000,2794.000000,6.617759,42.204201
25513049.522400,6687008.985010,3.100000,723.000000,2794.000000,6.619843,42.210510
25513149.522400,6687008.985010,3.100000,723.000000,2794.000000,6.622143,42.216820
25513249.522400,6687008.985010,3.100000,723.000000,2794.000000,6.624677,42.223068
25513349.522400,6687008.985010,3.100000,723.000000,2794.000000,6.627496,42.229187
25513449.522400,6687008.985010,3.200000,721.000000,2640.000000,6.630692,42.235310
25513549.522400,6687008.985010,3.200000,721.000000,2640.000000,6.634228,42.241428
25513649.522400,6687008.985010,3.200000,721.000000,2640.000000,6.637961,42.247547
25513749.522400,6687008.985010,3.200000,721.000000,2640.000000,6.641801,42.253670
25513849.522400,6687008.985010,3.200000,721.000000,2640.000000,6.645686,42.259789
25513949.522400,6687008.985010,3.200000,721.000000,2640.000000,6.649571,42.265907
25514049.522400,6687008.985010,3.200000,721.000000,2640.000000,6.653411,42.272030
25512549.522400,6686908.985010,3.100000,723.000000,2794.000000,6.613996,42.169605
25512649.522400,6686908.985010,3.100000,723.000000,2794.000000,6.615511,42.175896
25512749.522400,6686908.985010,3.100000,723.000000,2794.000000,6.617149,42.182182
25512849.522400,6686908.985010,3.100000,723.000000,2794.000000,6.618952,42.188473
25512949.522400,6686908.985010,3.100000,723.000000,2794.000000,6.620929,42.194763
25513049.522400,6686908.985010,3.100000,723.000000,2794.000000,6.623081,42.201054
25513149.522400,6686908.985010,3.100000,723.000000,2794.000000,6.625432,42.207344
25513249.522400,6686908.985010,3.100000,723.000000,2794.000000,6.628001,42.213573
25513349.522400,6686908.985010,3.200000,721.000000,2640.000000,6.630817,42.219681
25513449.522400,6686908.985010,3.200000,721.000000,2640.000000,6.633906,42.225784
25513549.522400,6686908.985010,3.200000,721.000000,2640.000000,6.637238,42.231892
25513649.522400,6686908.985010,3.200000,721.000000,2640.000000,6.640755,42.237999
25513749.522400,6686908.985010,3.200000,721.000000,2640.000000,6.644384,42.244102
25513849.522400,6686908.985010,3.200000,721.000000,2640.000000,6.648063,42.250210
25512449.522400,6686808.985010,3.100000,723.000000,2794.000000,6.614755,42.153980
25512549.522400,6686808.985010,3.100000,723.000000,2794.000000,6.616385,42.160248
25512649.522400,6686808.985010,3.100000,723.000000,2794.000000,6.618086,42.166519
25512749.522400,6686808.985010,3.100000,723.000000,2794.000000,6.619898,42.172787
25512849.522400,6686808.985010,3.100000,723.000000,2794.000000,6.621848,42.179058
25512949.522400,6686808.985010,3.100000,723.000000,2794.000000,6.623949,42.185326
25513049.522400,6686808.985010,3.100000,723.000000,2794.000000,6.626199,42.191597
25513149.522400,6686808.985010,3.200000,721.000000,2640.000000,6.628616,42.197865
25513249.522400,6686808.985010,3.200000,721.000000,2640.000000,6.631220,42.204079
25513349.522400,6686808.985010,3.200000,721.000000,2640.000000,6.634022,42.210171
25513449.522400,6686808.985010,3.200000,721.000000,2640.000000,6.637026,42.216263
25513549.522400,6686808.985010,3.200000,721.000000,2640.000000,6.640212,42.222355
25512449.522400,6686708.985010,3.100000,723.000000,2794.000000,6.616957,42.144642
25512549.522400,6686708.985010,3.100000,723.000000,2794.000000,6.618706,42.150890
25512649.522400,6686708.985010,3.100000,723.000000,2794.000000,6.620550,42.157139
25512749.522400,6686708.985010,3.100000,723.000000,2794.000000,6.622509,42.163391
25512849.522400,6686708.985010,3.100000,723.000000,2794.000000,6.624595,42.169640
25512949.522400,6686708.985010,3.100000,723.000000,2794.000000,6.626824,42.175888
25513049.522400,6686708.985010,3.100000,723.000000,2794.000000,6.629185,42.182137
25513149.522400,6686708.985010,3.200000,721.000000,2640.000000,6.631684,42.188389
25513249.522400,6686708.985010,3.200000,721.000000,2640.000000,6.634324,42.194580
25513349.522400,6686708.985010,3.200000,721.000000,2640.000000,6.637115,42.200661
25513449.522400,6686708.985010,3.200000,721.000000,2640.000000,6.640050,42.206738
25513549.522400,6686708.985010,3.200000,721.000000,2640.000000,6.643120,42.212818
25513649.522400,6686708.985010,3.200000,721.000000,2640.000000,6.646313,42.218895
25512349.522400,6686608.985010,3.100000,723.000000,2794.000000,6.617373,42.129078
25512449.522400,6686608.985010,3.100000,723.000000,2794.000000,6.619131,42.135307
25512549.522400,6686608.985010,3.100000,723.000000,2794.000000,6.620985,42.141533
25512649.522400,6686608.985010,3.100000,723.000000,2794.000000,6.622953,42.147762
25512749.522400,6686608.985010,3.100000,723.000000,2794.000000,6.625041,42.153992
25512849.522400,6686608.985010,3.100000,723.000000,2794.000000,6.627250,42.160221
25512949.522400,6686608.985010,3.100000,723.000000,2794.000000,6.629584,42.166451
25513049.522400,6686608.985010,3.100000,723.000000,2794.000000,6.632048,42.172680
25513149.522400,6686608.985010,3.100000,723.000000,2794.000000,6.634627,42.178909
25513249.522400,6686608.985010,3.100000,723.000000,2794.000000,6.637316,42.185085
25513349.522400,6686608.985010,3.100000,723.000000,2794.000000,6.640101,42.191151
25513449.522400,6686608.985010,3.200000,721.000000,2640.000000,6.642981,42.197216
