num_neurons1,activation_function1,num_neurons2,activation_function2,min_absolute_error,mean_absolute_error,max_absolute_error,mean_relative_error,max_relative_error
3,selu,,,-0.327007,-0.002759,0.172481,0.039977,0.354441
3,selu,3,selu,-0.258658,0.000076,0.187913,0.042163,0.285080
3,selu,3,relu,-0.213710,-0.004249,0.175211,0.037397,0.246425
3,selu,3,tanh,-0.257773,0.008514,0.193283,0.036361,0.278427
3,selu,4,selu,-0.320169,-0.002675,0.165010,0.032373,0.344446
3,selu,4,relu,-0.203171,-0.014467,0.131636,0.036867,0.219873
3,selu,4,tanh,-0.248058,0.001381,0.155649,0.038308,0.266867
3,selu,5,selu,-0.224096,-0.007532,0.154505,0.038186,0.259884
3,selu,5,relu,-0.184068,-0.000063,0.122449,0.023953,0.200007
3,selu,5,tanh,-0.281633,-0.007552,0.148068,0.038361,0.302988
3,selu,6,selu,-0.194467,-0.005377,0.156501,0.034881,0.213576
3,selu,6,relu,-0.159525,0.006820,0.111141,0.023473,0.172673
3,selu,6,tanh,-0.303701,-0.000961,0.145533,0.040418,0.330012
3,selu,7,selu,-0.288347,0.007049,0.161427,0.034776,0.310211
3,selu,7,relu,-0.197697,-0.001219,0.103990,0.027844,0.223194
3,selu,7,tanh,-0.259322,-0.003337,0.178541,0.042254,0.286517
3,selu,8,selu,-0.178343,-0.005493,0.113872,0.034315,0.200923
3,selu,8,relu,-0.155433,0.000629,0.144406,0.029964,0.183855
3,selu,8,tanh,-0.278331,-0.009047,0.158836,0.034367,0.299436
3,relu,,,-0.496312,0.002770,0.291557,0.082356,0.537482
3,relu,3,selu,-0.290360,-0.003547,0.095068,0.027192,0.315708
3,relu,3,relu,-1.298019,-0.007825,0.636118,0.580800,1.530602
3,relu,3,tanh,-0.332269,-0.003518,0.120905,0.028756,0.361104
3,relu,4,selu,-0.306528,0.004732,0.117951,0.025568,0.343115
3,relu,4,relu,-1.306424,-0.010500,0.639439,0.586174,1.534970
3,relu,4,tanh,-0.140478,-0.000395,0.112008,0.038173,0.179644
3,relu,5,selu,-0.213929,0.005537,0.109317,0.022726,0.262948
3,relu,5,relu,-0.093165,-0.002835,0.069075,0.034137,0.131414
3,relu,5,tanh,-0.224754,-0.006857,0.062806,0.025399,0.247929
3,relu,6,selu,-0.101828,0.008079,0.136610,0.033567,0.167866
3,relu,6,relu,-0.324330,-0.002552,0.072505,0.025601,0.363309
3,relu,6,tanh,-0.165914,-0.007195,0.102923,0.028277,0.184940
3,relu,7,selu,-0.100007,0.001955,0.094680,0.023588,0.136882
3,relu,7,relu,-0.153758,0.010583,0.082634,0.025896,0.183818
3,relu,7,tanh,-0.205088,0.011071,0.149531,0.032916,0.243671
3,relu,8,selu,-0.255808,-0.004567,0.078719,0.022639,0.281414
3,relu,8,relu,-0.232091,-0.004844,0.050886,0.018880,0.258420
3,relu,8,tanh,-0.218533,0.012352,0.118066,0.034553,0.248917
3,tanh,,,-0.548443,0.002134,0.258636,0.043102,0.590028
3,tanh,3,selu,-0.364328,-0.003271,0.233037,0.044016,0.391953
3,tanh,3,relu,-0.248284,0.010424,0.166913,0.034786,0.272610
3,tanh,3,tanh,-0.358132,0.009121,0.296948,0.062282,0.385287
3,tanh,4,selu,-0.341065,-0.000574,0.257618,0.046162,0.368447
3,tanh,4,relu,-0.148265,0.007516,0.146060,0.028614,0.179594
3,tanh,4,tanh,-0.400721,-0.004028,0.280933,0.065647,0.431105
3,tanh,5,selu,-0.305706,0.001461,0.204420,0.039977,0.329056
3,tanh,5,relu,-0.206349,-0.001938,0.147466,0.040190,0.233727
3,tanh,5,tanh,-0.390712,-0.012447,0.264758,0.058768,0.420338
3,tanh,6,selu,-0.329717,-0.007166,0.175000,0.035348,0.354717
