x,y,k_rock,Cp_rock,rho_rock,T_surface,q_geothermal,E_borehole,E_hectare
25502497.204600,6664776.051090,3.10,723,2794,7.030,40.655,5.25,131.3
25502597.204600,6664776.051090,3.10,723,2794,7.033,40.658,5.25,131.4
25502497.204600,6664876.051090,3.10,723,2794,7.032,40.657,5.25,131.3
25502597.204600,6664876.051090,3.10,723,2794,7.034,40.659,5.25,131.4
25502697.204600,6664876.051090,3.10,723,2794,7.037,40.661,5.26,131.4
25502797.204600,6664876.051090,3.10,723,2794,7.040,40.663,5.26,131.5
25502497.204600,6664976.051090,3.10,723,2794,7.034,40.658,5.25,131.4
25502597.204600,6664976.051090,3.10,723,2794,7.037,40.661,5.26,131.4
25502697.204600,6664976.051090,3.10,723,2794,7.039,40.663,5.26,131.4
25502797.204600,6664976.051090,3.10,723,2794,7.042,40.665,5.26,131.5
25502397.204600,6665076.051090,3.10,723,2794,7.034,40.658,5.25,131.4
25502497.204600,6665076.051090,3.10,723,2794,7.036,40.660,5.26,131.4
25502597.204600,6665076.051090,3.10,723,2794,7.039,40.662,5.26,131.4
25502697.204600,6665076.051090,3.10,723,2794,7.043,40.665,5.26,131.5
25502797.204600,6665076.051090,3.10,723,2794,7.045,40.667,5.26,131.5
25502897.204600,6665076.051090,3.10,723,2794,7.048,40.669,5.26,131.6
25502397.204600,6665176.051090,3.10,723,2794,7.036,40.659,5.26,131.4
25502497.204600,6665176.051090,3.10,723,2794,7.040,40.662,5.26,131.5
25502597.204600,6665176.051090,3.10,723,2794,7.043,40.664,5.26,131.5
25502697.204600,6665176.051090,3.10,723,2794,7.046,40.666,5.26,131.5
25502797.204600,6665176.051090,3.10,723,2794,7.049,40.669,5.26,131.6
25502897.204600,6665176.051090,3.10,723,2794,7.052,40.671,5.27,131.6
25502997.204600,6665176.051090,3.10,723,2794,7.055,40.674,5.27,131.7
25502397.204600,6665276.051090,3.10,723,2794,7.040,40.661,5.26,131.5
25502497.204600,6665276.051090,3.10,723,2794,7.044,40.663,5.26,131.5
25502597.204600,6665276.051090,3.10,723,2794,7.047,40.666,5.26,131.6
25502697.204600,6665276.051090,3.10,723,2794,7.050,40.668,5.26,131.6
25502797.204600,6665276.051090,3.10,723,2794,7.054,40.670,5.27,131.7
25502897.204600,6665276.051090,3.10,723,2794,7.057,40.673,5.27,131.7
25502997.204600,6665276.051090,3.10,723,2794,7.060,40.676,5.27,131.7
25503097.204600,6665276.051090,3.10,723,2794,7.063,40.678,5.27,131.8
25503197.204600,6665276.051090,3.10,723,2794,7.066,40.681,5.27,131.8
25502397.204600,6665376.051090,3.10,723,2794,7.045,40.662,5.26,131.5
25502497.204600,6665376.051090,3.10,723,2794,7.048,40.665,5.26,131.6
25502597.204600,6665376.051090,3.10,723,2794,7.052,40.667,5.27,131.6
25502697.204600,6665376.051090,3.10,723,2794,7.055,40.670,5.27,131.7
25502797.204600,6665376.051090,3.10,723,2794,7.059,40.672,5.27,131.7
25502897.204600,6665376.051090,3.10,723,2794,7.062,40.675,5.27,131.8
25502997.204600,6665376.051090,3.10,723,2794,7.066,40.677,5.27,131.8
25503097.204600,6665376.051090,3.10,723,2794,7.069,40.680,5.27,131.9
25503197.204600,6665376.051090,3.10,723,2794,7.073,40.683,5.28,131.9
25503297.204600,6665376.051090,3.10,723,2794,7.077,40.685,5.28,132.0
25503397.204600,6665376.051090,3.10,723,2794,7.083,40.688,5.28,132.1
25503497.204600,6665376.051090,3.10,723,2794,7.087,40.690,5.28,132.1
25502397.204600,6665476.051090,3.10,723,2794,7.050,40.664,5.26,131.6
25502497.204600,6665476.051090,3.10,723,2794,7.053,40.666,5.27,131.6
25502597.204600,6665476.051090,3.10,723,2794,7.057,40.669,5.27,131.7
25502697.204600,6665476.051090,3.10,723,2794,7.060,40.671,5.27,131.7
25502797.204600,6665476.051090,3.10,723,2794,7.064,40.674,5.27,131.8
25502897.204600,6665476.051090,3.10,723,2794,7.068,40.676,5.27,131.9
25502997.204600,6665476.051090,3.10,723,2794,7.072,40.679,5.28,131.9
25503097.204600,6665476.051090,3.10,723,2794,7.076,40.682,5.28,132.0
25503197.204600,6665476.051090,3.10,723,2794,7.080,40.684,5.28,132.0
25503297.204600,6665476.051090,3.10,723,2794,7.085,40.687,5.28,132.1
25503397.204600,6665476.051090,3.10,723,2794,7.091,40.690,5.29,132.2
25502397.204600,6665576.051090,3.10,723,2794,7.056,40.667,5.27,131.7
25502497.204600,6665576.051090,3.10,723,2794,7.058,40.668,5.27,131.7
25502597.204600,6665576.051090,3.10,723,2794,7.062,40.671,5.27,131.8
25502697.204600,6665576.051090,3.10,723,2794,7.066,40.673,5.27,131.8
25502797.204600,6665576.051090,3.10,723,2794,7.070,40.675,5.28,131.9
25502897.204600,6665576.051090,3.10,723,2794,7.074,40.678,5.28,131.9
25502997.204600,6665576.051090,3.10,723,2794,7.079,40.681,5.28,132.0
25503097.204600,6665576.051090,3.10,723,2794,7.083,40.684,5.28,132.1
25503197.204600,6665576.051090,3.10,723,2794,7.088,40.686,5.28,132.1
25503297.204600,6665576.051090,3.10,723,2794,7.093,40.689,5.29,132.2
25503397.204600,6665576.051090,3.10,723,2794,7.098,40.692,5.29,132.2
25503497.204600,6665576.051090,3.10,723,2794,7.104,40.694,5.29,132.3
25503597.204600,6665576.051090,3.10,723,2794,7.109,40.697,5.29,132.4
25502397.204600,6665676.051090,3.10,723,2794,7.061,40.668,5.27,131.8
25502497.204600,6665676.051090,3.10,723,2794,7.063,40.670,5.27,131.8
25502697.204600,6665676.051090,3.10,723,2794,7.071,40.675,5.28,131.9
25502797.204600,6665676.051090,3.10,723,2794,7.075,40.677,5.28,132.0
25502897.204600,6665676.051090,3.10,723,2794,7.080,40.680,5.28,132.0
25502997.204600,6665676.051090,3.10,723,2794,7.085,40.683,5.28,132.1
25503097.204600,6665676.051090,3.10,723,2794,7.090,40.685,5.29,132.1
25503197.204600,6665676.051090,3.10,723,2794,7.093,40.687,5.29,132.2
25503297.204600,6665676.051090,3.10,723,2794,7.100,40.691,5.29,132.3
25503397.204600,6665676.051090,3.10,723,2794,7.104,40.693,5.29,132.3
25503497.204600,6665676.051090,3.10,723,2794,7.108,40.696,5.29,132.4
25503597.204600,6665676.051090,3.10,723,2794,7.116,40.699,5.30,132.5
25503697.204600,6665676.051090,3.10,723,2794,7.120,40.701,5.30,132.5
25503097.204600,6665776.051090,3.10,723,2794,7.093,40.686,5.29,132.2
25493497.204600,6668376.051090,3.20,721,2640,7.019,40.545,5.13,128.2
25493597.204600,6668376.051090,3.20,721,2640,7.019,40.545,5.13,128.2
25493497.204600,6668476.051090,3.20,721,2640,7.019,40.545,5.13,128.2
25493597.204600,6668476.051090,3.20,721,2640,7.020,40.546,5.13,128.2
25493697.204600,6668476.051090,3.20,721,2640,7.020,40.546,5.13,128.2
25494197.204600,6668476.051090,3.20,721,2640,7.022,40.549,5.13,128.2
25493497.204600,6668576.051090,3.20,721,2640,7.020,40.546,5.13,128.2
25493597.204600,6668576.051090,3.20,721,2640,7.020,40.546,5.13,128.2
25493697.204600,6668576.051090,3.20,721,2640,7.020,40.547,5.13,128.2
25493797.204600,6668576.051090,3.20,721,2640,7.021,40.547,5.13,128.2
25494097.204600,6668576.051090,3.20,721,2640,7.022,40.549,5.13,128.2
25493597.204600,6668676.051090,3.20,721,2640,7.020,40.547,5.13,128.2
25493697.204600,6668676.051090,3.20,721,2640,7.020,40.547,5.13,128.2
25493797.204600,6668676.051090,3.20,721,2640,7.021,40.548,5.13,128.2
25493897.204600,6668676.051090,3.20,721,2640,7.021,40.548,5.13,128.2
25493997.204600,6668676.051090,3.20,721,2640,7.022,40.549,5.13,128.2
25494097.204600,6668676.051090,3.20,721,2640,7.022,40.550,5.13,128.2
25499797.204600,6668676.051090,3.17,731,2675,7.007,40.650,5.17,129.3
25493597.204600,6668776.051090,3.20,721,2640,7.020,40.547,5.13,128.2
25493697.204600,6668776.051090,3.20,721,2640,7.021,40.548,5.13,128.2
25493797.204600,6668776.051090,3.20,721,2640,7.021,40.548,5.13,128.2
25493897.204600,6668776.051090,3.20,721,2640,7.021,40.549,5.13,128.2
25493997.204600,6668776.051090,3.20,721,2640,7.022,40.550,5.13,128.2
25494097.204600,6668776.051090,3.20,721,2640,7.022,40.550,5.13,128.2
25499897.204600,6668776.051090,2.66,731,2906,7.005,40.654,5.16,129.1
25499997.204600,6668776.051090,3.17,731,2675,7.005,40.656,5.17,129.3
25493697.204600,6668876.051090,3.20,721,2640,7.020,40.548,5.13,128.2
25493797.204600,6668876.051090,3.20,721,2640,7.021,40.549,5.13,128.2
25493897.204600,6668876.051090,3.20,721,2640,7.021,40.549,5.13,128.2
25493997.204600,6668876.051090,3.20,721,2640,7.022,40.550,5.13,128.2
25499897.204600,6668876.051090,2.66,731,2906,7.005,40.656,5.16,129.1
25499997.204600,6668876.051090,2.66,731,2906,7.004,40.658,5.16,129.0
25500097.204600,6668876.051090,2.66,731,2906,7.003,40.661,5.16,129.0
25500197.204600,6668876.051090,2.66,731,2906,7.002,40.663,5.16,129.0
25500897.204600,6668876.051090,3.17,731,2675,6.995,40.683,5.17,129.2
25500997.204600,6668876.051090,3.17,731,2675,6.994,40.685,5.17,129.2
25501097.204600,6668876.051090,3.17,731,2675,6.993,40.688,5.17,129.2
25501197.204600,6668876.051090,3.17,731,2675,6.992,40.690,5.17,129.1
25493697.204600,6668976.051090,3.20,721,2640,7.020,40.549,5.13,128.2
25493797.204600,6668976.051090,3.20,721,2640,7.021,40.549,5.13,128.2
25493897.204600,6668976.051090,3.20,721,2640,7.021,40.550,5.13,128.2
25493997.204600,6668976.051090,3.20,721,2640,7.022,40.550,5.13,128.2
25499797.204600,6668976.051090,2.66,731,2906,7.006,40.655,5.16,129.1
25499897.204600,6668976.051090,2.66,731,2906,7.005,40.657,5.16,129.1
25499997.204600,6668976.051090,2.66,731,2906,7.004,40.660,5.16,129.0
25500097.204600,6668976.051090,2.66,731,2906,7.003,40.662,5.16,129.0
