XCOORD;YCOORD;GEOLAT;GEOLON;UNIT;UNITAREA;U;TH;RHO;K;PVEL;METAM;SIO2;FE2O3;POR;XEUREF;YEUREF
7616360;3511910;68.63041445;27.28853993;77;11958.7;2.28;271;2650;4.6314;4480;4;71.2;1.4037036;0.82;511562.1708;7613246.002
6729580;3324100;60.63780777;23.78163732;14;13371;54.8;10.2;2636;6.9056;4300;1;66.9;0.85301988;0.69;323824.4205;6726781.662
7019418;3578249;63.26874106;28.55523362;76;55413.3;27.8;72.2;2625;4.5401;5010;0;75.4;1.07;0.38;577877.8707;7016517.796
6718080;3354090;60.54676246;24.33756074;14;13371;36.8;30;2618;4.1417;4310;1;73.5;1.5926637;0.79;353803.7404;6715286.281
7497550;3519020;67.56485324;27.44237517;12;940.7;37.2;24.6;2617;2.3157;4240;0;75.1;0.5488841;0.76;518668.6423;7494478.281
6773370;3441450;61.06512419;25.91249816;14;13371;37.3;11.8;2616;4.2164;5230;1;73.6;0.9178062;0.59;441131.4016;6770557.49
7416700;3453500;66.83693586;25.93709315;39;24592;14.8;91.7;2633;4.8223;5340;0;72.4;2.04;0.76;453171.6038;7413656.931
6768820;3475180;61.02788044;26.53773805;8;9523.8;15.7;79.8;2625;4.0338;4800;1;77;1.6106599;0.38;474849.2912;6766009.919
7346240;3507450;66.20857765;27.1615974;76;55413.3;28.2;30.6;2605;3.9674;#N/A;3;75.1;0.65;1.17;507102.1413;7343221.797
7247560;3436600;65.31750472;25.63613413;76;55413.3;20.2;58.1;2636;4.3575;5760;0;72.7;1.5;0.38;436277.2679;7244576.716
7112890;3514470;64.1154506;27.29340873;39;24592;18.1;64.5;2625;2.7556;5680;0;76.1;0.84;0.67;514120.4673;7109955.248
7601670;3488600;68.49872674;26.71720547;77;11958.7;1.43;114;2935;1.0458;5640;4;65.3;6.2806738;0.59;488260.3955;7598561.49
6944470;3663580;62.56871183;30.17891403;68;1730.9;10.9;86.3;2626;5.2705;5660;0;71.2;2.159544;0.84;663179.1408;6941598.304
7424430;3484900;66.90943631;26.65116725;39;24592;8.76;87;2582;3.9093;4280;0;75.8;0.98;1.85;484560.273;7421384.174
7560420;3360990;68.0953589;23.65687012;76;55413.3;24.6;24.3;2610;4.4073;#N/A;0;75;0.44;0.78;360694.1981;7557327.334
7622300;3328050;68.6307993;22.76609213;39;24592;10.5;69.4;2609;3.3117;5160;0;75.4;0.53;0.57;327765.9099;7619186.223
6697000;3153470;60.23620976;20.73577827;14;13371;11.4;60;2637;4.3409;5750;0;73.4;1.5026827;0.32;153256.4918;6694212.229
7537520;3375310;67.89691153;24.02666656;39;24592;16.4;41.2;2622;3.8429;5280;0;75;1.19;0.53;375009.1878;7534435.141
6670120;3314680;60.10082018;23.6647379;15;44421.3;17.6;35.9;2605;4.4737;5390;1;74.2;0.9448005;0.45;314408.2613;6667343.689
6864250;3655720;61.85329194;29.95511578;14;13371;25.1;6.54;2616;4.7891;5310;0;77.1;1.2777302;0.45;655322.997;6861407.515
7722140;3548260;69.57457448;28.23425471;85;3786.1;21.3;21.8;2589;4.4737;#N/A;3;73.5;1.14;#N/A;547900.3656;7718987.515
7317330;3421890;65.93977501;25.27977788;76;55413.3;2.6;86;2595;5.5112;5130;0;73.1;0.98;0.75;421572.3383;7314322.003
6756550;3272680;60.85334771;22.81293793;15;44421.3;16.8;35.3;2618;2.5315;5400;0;77.7;0.34642685;0.37;272422.5291;6753741.161
7393990;3471320;66.63550993;26.34828088;39;24592;11.8;47.9;2638;4.3243;4740;3;72.9;2.72;0.96;470985.1232;7390954.903
7078900;3445040;63.80650203;25.88098106;24;16584.2;18.2;23.9;2660;3.4777;5550;0;70.3;3.99;0.59;444715.8423;7075976.499
6747560;3455820;60.8354012;26.18454383;8;9523.8;11.9;47.1;2623;4.6065;5620;1;75.5;1.7186371;0.43;455496.352;6744757.164
6775500;3423900;61.08122469;25.58672169;14;13371;23.2;6.25;2599;4.1749;4970;1;75.7;0.55518277;0.45;423587.7991;6772686.284
7344780;3522770;66.19475747;27.50151776;76;55413.3;3.94;76.1;2607;4.9053;#N/A;3;74;1.52;1.22;522416.7754;7341762.315
7166748;3611983;64.58040041;29.3339536;63;73.9;10.7;50.6;2614;4.1085;4910;0;76.1;1.43;1.18;611598.2287;7163794.462
7529780;3472430;67.85310872;26.34081975;12;940.7;11.8;47.9;2586;3.6852;4690;0;75.1;0.62896719;1.61;472095.4126;7526697.292
6946150;3391730;62.60395923;24.8882645;24;16584.2;12;44.3;2613;4.2081;4620;1;75;1.9345915;0.75;391426.9779;6943273.924
6702100;3447750;60.42648258;26.04829027;14;13371;10.4;48.1;2616;4.5982;5670;0;76.1;1.5116808;0.34;447430.0676;6699313.661
6706100;3460830;60.46386519;26.28495183;8;9523.8;10.9;45.1;2640;4.7393;5670;1;74.2;2.159544;0.41;460505.2581;6703312.417
7146434;3593590;64.40386281;28.93737295;76;55413.3;15.4;29.9;2617;3.984;5800;1;74.3;1.22;0.86;593211.9185;7143487.8
7097550;3553150;63.97411123;28.08172212;53;9371.4;19.7;5.48;2800;5.3867;#N/A;0;48.4;9.94;0.89;552786.7297;7094621.158
7365940;3487700;66.3850751;26.72108825;39;24592;6.84;59.6;2653;4.1417;5040;0;70.9;2.26;0.5;487359.1426;7362914.766
6680090;3357600;60.2074048;24.42845979;14;13371;10.2;46.3;2638;4.9551;5670;1;72.8;1.6646485;0.49;357312.742;6677310.382
6704870;3485190;60.45446717;26.72780978;8;9523.8;9.38;49.3;2635;4.5401;5420;1;75;2.3215098;0.41;484856.5282;6702083.348
7714320;3579310;69.49708664;29.02404616;12;940.7;12.3;39.4;2621;3.5856;#N/A;0;74.9;1.01;#N/A;578939.1828;7711169.864
7167449;3611349;64.58689153;29.32126771;63;73.9;6.85;59.5;2586;4.2413;4600;0;75.2;1.42;2.06;610964.4511;7164495.197
6682130;3272330;60.18698796;22.89190427;14;13371;10.9;41.1;2628;4.9883;5380;0;73;1.8446105;0.51;272073.5399;6679348.785
6652790;3275130;59.92585312;22.97441196;14;13371;9.73;45.1;2635;5.0215;5380;0;73.2;1.7366333;0.5;274872.7509;6650019.543
6735280;3197760;60.61347012;21.47350098;9;3089.7;7.77;52;2648;4.7642;5140;1;70;2.6904319;0.59;197530.1099;6732478.336
7723150;3586500;69.57395123;29.21595491;85;3786.1;6.05;58.7;2624;5.0713;#N/A;0;72.3;1.39;#N/A;586126.8201;7719996.643
6658600;3267760;59.97377994;22.8364443;14;13371;5.37;61.1;2642;4.7061;5470;0;73.1;2.0785611;0.45;267505.3609;6655827.342
7420230;3471620;66.87082065;26.34886879;39;24592;7.03;57.4;2578;4.0587;2670;0;76;0.86;2.05;471285.0828;7417185.668
6911230;3681070;62.26289092;30.48363107;68;1730.9;14.5;31.3;2616;1.8177;5880;1;74.4;0.74414287;4.47;680663.1907;6908370.603
6710810;3114970;60.32472054;20.01956032;9;3089.7;11.2;40;2593;4.482;5340;1;76.2;1.5206789;0.67;114770.1294;6708016.673
7125503;3392126;64.21192973;24.77469183;15;44421.3;18.1;11.7;2728;3.1208;6050;1;64;6.35;0.31;391820.0923;7122561.998
6745630;3373220;60.80030373;24.66804803;14;13371;18.1;12.6;2750;1.6683;5260;1;63.1;4.8049854;1.06;372926.4615;6742826.324
7025996;3594940;63.32370546;28.89136809;76;55413.3;4.58;64;2646;3.2038;#N/A;3;72.9;1.39;0.88;594562.7936;7023093.556
7696770;3563350;69.34408496;28.60431481;12;940.7;7.64;51.6;2612;4.5567;4750;0;73.5;2.2225307;1.03;562984.6488;7693626.483
