XCOORD YCOORD GEOLAT GEOLON UNIT UNITAREA U TH RHO K PVEL METAM SIO2 FE2O3 POR
7616360 3511910 68.630414451 27.288539928 77 11958.7 2.28 271 2650 4.6314 4480 4 71.2 1.4037036 0.82
6729580 3324100 60.637807773 23.781637323 14 13371 54.8 10.2 2636 6.9056 4300 1 66.9 0.85301988 0.69
7019418 3578249 63.268741057 28.555233621 76 55413.3 27.8 72.2 2625 4.5401 5010 0 75.4 1.07 0.38
6718080 3354090 60.546762459 24.337560736 14 13371 36.8 30 2618 4.1417 4310 1 73.5 1.5926637 0.79
7497550 3519020 67.564853237 27.442375166 12 940.7 37.2 24.6 2617 2.3157 4240 0 75.1 0.5488841 0.76
6773370 3441450 61.065124194 25.912498155 14 13371 37.3 11.8 2616 4.2164 5230 1 73.6 0.9178062 0.59
7416700 3453500 66.836935862 25.937093150 39 24592 14.8 91.7 2633 4.8223 5340 0 72.4 2.04 0.76
6768820 3475180 61.027880437 26.537738054 8 9523.8 15.7 79.8 2625 4.0338 4800 1 77 1.6106599 0.38
7346240 3507450 66.208577653 27.161597404 76 55413.3 28.2 30.6 2605 3.9674 ND 3 75.1 0.65 1.17
7247560 3436600 65.317504715 25.636134131 76 55413.3 20.2 58.1 2636 4.3575 5760 0 72.7 1.5 0.38
7112890 3514470 64.115450603 27.293408729 39 24592 18.1 64.5 2625 2.7556 5680 0 76.1 0.84 0.67
7601670 3488600 68.498726736 26.717205467 77 11958.7 1.43 114 2935 1.0458 5640 4 65.3 6.2806738 0.59
6944470 3663580 62.568711828 30.178914033 68 1730.9 10.9 86.3 2626 5.2705 5660 0 71.2 2.159544 0.84
7424430 3484900 66.909436313 26.651167245 39 24592 8.76 87 2582 3.9093 4280 0 75.8 0.98 1.85
7560420 3360990 68.095358895 23.656870120 76 55413.3 24.6 24.3 2610 4.4073 ND 0 75 0.44 0.78
7622300 3328050 68.630799299 22.766092131 39 24592 10.5 69.4 2609 3.3117 5160 0 75.4 0.53 0.57
6697000 3153470 60.236209756 20.735778267 14 13371 11.4 60 2637 4.3409 5750 0 73.4 1.5026827 0.32
7537520 3375310 67.896911526 24.026666562 39 24592 16.4 41.2 2622 3.8429 5280 0 75 1.19 0.53
6670120 3314680 60.100820177 23.664737904 15 44421.3 17.6 35.9 2605 4.4737 5390 1 74.2 0.9448005 0.45
6864250 3655720 61.853291937 29.955115784 14 13371 25.1 6.54 2616 4.7891 5310 0 77.1 1.2777302 0.45
7722140 3548260 69.574574480 28.234254708 85 3786.1 21.3 21.8 2589 4.4737 ND 3 73.5 1.14 ND
7317330 3421890 65.939775013 25.279777882 76 55413.3 2.6 86 2595 5.5112 5130 0 73.1 0.98 0.75
6756550 3272680 60.853347711 22.812937927 15 44421.3 16.8 35.3 2618 2.5315 5400 0 77.7 0.34642685 0.37
7393990 3471320 66.635509928 26.348280880 39 24592 11.8 47.9 2638 4.3243 4740 3 72.9 2.72 0.96
7078900 3445040 63.806502026 25.880981055 24 16584.2 18.2 23.9 2660 3.4777 5550 0 70.3 3.99 0.59
6747560 3455820 60.835401198 26.184543825 8 9523.8 11.9 47.1 2623 4.6065 5620 1 75.5 1.7186371 0.43
6775500 3423900 61.081224689 25.586721691 14 13371 23.2 6.25 2599 4.1749 4970 1 75.7 0.55518277 0.45
7344780 3522770 66.194757466 27.501517761 76 55413.3 3.94 76.1 2607 4.9053 ND 3 74 1.52 1.22
7166748 3611983 64.580400414 29.333953596 63 73.9 10.7 50.6 2614 4.1085 4910 0 76.1 1.43 1.18
