x;y;U;A
445570.8897;6690996.6830;14;5.492389329240
512120.6603;7184388.3520;76;5.488549914520
501305.0358;7113263.8080;75;5.476209923800
561637.5936;6810134.7910;15;5.468971737600
479422.1569;7412427.3340;39;5.458846167800
290076.9264;6687096.1130;14;5.450665882680
386114.9014;7463799.3910;39;5.443995861040
352136.6883;7356826.6440;60;5.423727790080
531544.3445;7515670.7610;76;5.411367504000
248841.9380;6681157.8950;14;5.389809318560
524031.1996;6794560.0850;8;5.350022708000
448693.0036;7385126.9730;39;5.346337051400
579977.2937;7517069.8760;67;5.343506292120
358329.9605;7130868.6330;15;5.338768464120
543782.0380;7728913.9980;85;5.329226831200
358555.3098;7604691.0260;39;5.320392506240
332039.5240;6859783.4950;24;5.304226395600
425291.2795;7444086.3650;39;5.294746746000
497965.4985;7406729.3110;39;5.286526251280
584543.8450;7214665.9180;76;5.278073660320
454723.8002;6964866.8990;15;5.267754393600
571354.6225;6765091.8190;8;5.244503141640
252680.5463;6681567.7820;14;5.236278091520
488358.9227;7413746.8600;39;5.193321138720
565612.9104;7043699.8150;76;5.157361640400
288547.5287;6681188.2980;14;5.147934108840
212801.0690;6932845.0820;9;5.145997036680
366489.9690;7133665.7170;15;5.141542063360
558128.8659;6808785.2520;15;5.137584128040
348945.8422;6665364.7130;14;5.073268491840
576128.0414;7397102.4300;39;5.060101206240
467816.3113;7425102.8830;39;5.036987015720
524885.9797;7407688.8670;39;5.023473505440
251111.0316;6692753.6140;14;5.007500569120
482486.5693;6763510.9440;8;4.967092620000
340809.3636;7003560.3780;24;4.961654143600
443025.1005;7403190.6140;39;4.940954624160
466822.5339;6731702.1760;8;4.928873520760
202495.4627;6882543.1410;9;4.926179370480
454621.4618;7149030.1900;39;4.919320547240
487819.1315;7400731.4440;39;4.909389019200
578329.1044;7321277.5890;76;4.898881159560
565183.7803;7681940.6960;12;4.891607700000
103174.6524;6686734.3230;9;4.883943373560
643047.3095;6873642.8440;14;4.880785254200
426519.7415;7125758.2860;24;4.880079229480
479362.9216;7534764.4680;12;4.878082680120
484920.0943;7383007.6870;39;4.867371328000
431119.0543;7288401.1740;76;4.798019085600
212394.3170;6758928.5310;9;4.791402249040
535682.0106;7392584.2380;39;4.781424033120
546113.8194;6760992.9030;8;4.757724477600
531243.6941;7331805.8690;39;4.747353774240
464087.6860;7412197.4330;39;4.718572436760
397012.1308;7616186.3320;39;4.717692296720
134483.1222;6704018.3830;9;4.713521392480
564803.9537;7688508.3140;12;4.709051755360
370946.1077;6827175.8580;24;4.706575258560
351514.0223;6760419.5840;14;4.702180438600
354525.7969;7375130.3020;39;4.690771438240
568532.6043;7692646.7480;12;4.663955647040
473514.2565;7400271.6210;39;4.654946095800
364669.9432;6702421.2380;14;4.651246921560
395981.6880;7497857.6410;39;4.650628141600
209456.3749;6681637.3220;14;4.646310692640
373349.2813;7363584.4340;39;4.643518176000
373895.4481;6797096.6840;15;4.640636157200
372719.3628;7156193.7100;39;4.639509380160
212703.5058;6795934.9260;9;4.631396246560
516858.8301;7214487.6880;58;4.624404148000
477758.1878;6775106.6690;8;4.617950283360
540061.3249;7093321.5360;39;4.598430187120
516748.7560;7345740.8960;76;4.593607970640
368551.0277;7459491.0820;39;4.563485421280
528070.6353;6742289.4170;8;4.562949448200
412662.9345;6685088.2330;14;4.554935904120
497775.5834;7224524.0570;39;4.536285289480
270683.6410;6718224.3000;14;4.518306956800
580107.0000;7086925.1270;68;4.516904092800
372707.1694;6682248.7140;8;4.501069912840
397266.7087;7153111.1320;35;4.497108171360
505259.0909;6714459.1880;8;4.494512164800
544094.2283;6782254.9820;8;4.489301431840
527695.1337;7172712.6540;75;4.483512887280
485155.2961;6792870.2280;14;4.483485007560
538597.2918;6711390.8780;8;4.478474707720
466967.1087;7147151.0210;39;4.478343048200
370893.8817;7102658.9950;15;4.478309514880
295335.2793;6655877.6130;15;4.471388004800
108322.9476;6677057.9200;13;4.469520923520
384111.0173;6854106.3360;23;4.469518670400
392696.6280;6936606.4000;24;4.449105735200
565102.3481;7090522.7150;68;4.447367496000
422737.4292;6841261.5220;24;4.433302187480
556807.6916;7744408.2970;85;4.422201840000
373109.8364;7539863.2810;45;4.418860897040
472746.7988;6993226.8040;24;4.412872929200
463018.3670;7160796.1490;39;4.412826415880
668617.0044;6950365.2040;76;4.399256087400
570002.3354;7710450.2640;12;4.393960079040
354593.0298;6751302.9620;14;4.393727461200
406058.4562;7540572.8130;39;4.383733419000
263146.7504;6682897.3950;14;4.378441547200
356175.3371;7353128.0220;53;4.372687070800
496991.6106;6747567.0220;8;4.369301955600
496456.0640;7422553.7150;39;4.368185314080
264333.0022;6910563.9010;24;4.367741700240
485495.4059;6772437.7870;8;4.367070016320
553506.0461;7432299.9360;39;4.360297050560
575090.9077;7728973.5750;84;4.349134105600
328713.1162;6666234.2790;14;4.347723921840
354885.6874;7446385.6710;39;4.341102809600
528095.4905;7509372.9860;39;4.339823653920
243980.4851;6898088.1880;24;4.330377231520
518278.2423;7398422.1990;39;4.322806002760
505697.9821;6782704.2790;14;4.317865401600
604850.6900;7275224.0180;76;4.308827885280
468589.9201;6899790.7820;24;4.306559709600
148448.3740;6683905.9420;14;4.278538006080
427381.5379;7117811.1570;24;4.266519879680
706024.6164;6997858.2060;67;4.258580155160
463044.0444;6721185.9440;8;4.247139536640
495692.1544;6741649.1500;8;4.243570673760
678943.4260;6933871.2980;68;4.242938385000
