Aika [a];Lämpöteho [kW];Kentästä tuleva lämpötila [°C];Kenttään menevä lämpötila
0.000000000;-1790.392;21.596;40
0.000000448;-1994.090;21.926;40
0.000000784;-1495.052;21.955;40
0.000001456;-1791.844;22.064;40
0.000002800;-2248.129;22.274;40
0.000005488;-2787.010;22.649;40
0.000010863;-3364.761;23.251;40
0.000021613;-3914.291;23.895;40
0.000032363;-4210.638;24.199;40
0.000053864;-4434.741;24.529;40
0.000096866;-4459.950;25.291;40
0.000182869;-4268.773;26.586;40
0.000354875;-3969.516;27.954;40
0.000526881;-3770.931;28.713;40
0.000870893;-3545.035;29.483;40
0.001558916;-3312.103;30.224;40
0.002934964;-3087.935;30.911;40
0.005687060;-2883.969;31.523;40
0.008439155;-2768.488;31.867;40
0.013943346;-2644.614;32.233;40
0.024951728;-2518.999;32.603;40
0.046968492;-2397.071;32.962;40
0.091002020;-2280.965;33.303;40
0.179069076;-2168.371;33.634;40
0.355203188;-2054.059;33.969;40
0.500000000;-1990.066;34.156;40
0.500000078;495.226;34.391;2
0.500000156;388.404;34.344;2
0.500000311;691.638;34.330;2
0.500000622;1290.243;34.268;2
0.500001245;2050.501;34.168;2
0.500001867;2652.122;34.081;2
0.500003111;3476.833;33.923;2
0.500005601;4526.659;33.655;2
0.500008090;5260.880;33.421;2
0.500013068;6141.653;33.038;2
0.500018046;6735.297;32.714;2
0.500028003;7393.849;32.207;2
0.500047916;7927.235;31.362;2
0.500067830;8091.119;30.487;2
0.500107656;7962.497;28.636;2
0.500147483;7722.310;26.988;2
0.500227136;7292.121;24.785;2
0.500386442;6730.439;22.462;2
0.500545748;6349.908;21.070;2
0.500864360;5894.010;19.539;2
0.501182972;5589.230;18.562;2
0.501820197;5220.047;17.414;2
0.503094646;4816.165;16.186;2
0.504369094;4561.476;15.421;2
0.506917992;4270.523;14.554;2
0.512015788;3967.534;13.656;2
0.517113583;3779.894;13.102;2
0.527309174;3564.344;12.467;2
0.547700356;3337.420;11.799;2
0.568091538;3196.286;11.384;2
0.608873901;3032.854;10.904;2
0.690438629;2856.064;10.385;2
0.853568083;2672.654;9.847;2
1.000000000;2565.127;9.533;40
1.000000075;93.487;9.295;40
1.000000151;201.022;9.343;40
1.000000302;-95.660;9.355;40
1.000000603;-690.525;9.417;40
1.000001207;-1435.721;9.515;40
1.000001810;-2030.642;9.600;40
1.000003016;-2844.779;9.755;40
1.000005430;-3886.187;10.015;40
1.000007843;-4624.171;10.245;40
1.000012669;-5509.410;10.622;40
1.000017495;-6106.698;10.942;40
1.000027148;-6775.613;11.442;40
1.000046453;-7329.565;12.263;40
1.000065758;-7511.680;13.106;40
1.000104368;-7405.179;14.906;40
1.000142978;-7175.099;16.536;40
1.000220198;-6750.255;18.749;40
1.000374639;-6189.083;21.097;40
1.000529079;-5807.339;22.505;40
1.000837960;-5349.160;24.051;40
1.001146841;-5042.652;25.037;40
1.001764603;-4671.317;26.194;40
1.003000127;-4265.027;27.430;40
1.004235651;-4008.767;28.201;40
1.006706699;-3716.146;29.073;40
1.011648795;-3412.215;29.974;40
1.016590891;-3224.625;30.528;40
1.026475083;-3010.232;31.160;40
1.046243468;-2786.653;31.818;40
1.066011852;-2649.195;32.222;40
1.105548620;-2493.079;32.681;40
1.184622156;-2329.295;33.162;40
1.342769229;-2166.465;33.639;40
1.500000000;-2067.068;33.931;40
1.500000078;418.191;34.166;2
1.500000156;311.392;34.119;2
1.500000311;614.811;34.104;2
1.500000622;1212.927;34.042;2
1.500001244;1973.586;33.943;2
1.500001867;2575.174;33.856;2
1.500003111;3400.963;33.697;2
1.500005600;4450.604;33.430;2
1.500008089;5183.681;33.196;2
1.500013067;6065.169;32.812;2
1.500018045;6657.811;32.488;2
1.500028001;7317.120;31.981;2
1.500047913;7850.276;31.137;2
1.500067825;8014.191;30.261;2
1.500107648;7885.567;28.411;2
1.500147472;7645.414;26.763;2
1.500227119;7215.241;24.560;2
1.500386414;6653.587;22.237;2
1.500545708;6273.081;20.845;2
1.500864297;5817.236;19.315;2
1.501182886;5512.511;18.337;2
1.501820064;5143.439;17.190;2
1.503094419;4739.783;15.963;2
1.504368775;4485.320;15.198;2
1.506917486;4194.816;14.332;2
1.512014909;3892.707;13.437;2
1.517112332;3705.928;12.886;2
1.527307177;3492.020;12.255;2
1.547696869;3268.101;11.596;2
1.568086560;3129.725;11.189;2
1.608865942;2971.037;10.723;2
1.690424706;2801.623;10.226;2
1.853542234;2628.215;9.717;2
2.000000000;2527.218;9.422;40
2.000000075;55.464;9.184;40
2.000000151;163.108;9.232;40
2.000000302;-133.381;9.244;40
2.000000603;-728.137;9.306;40
2.000001207;-1473.470;9.404;40
2.000001810;-2068.824;9.489;40
2.000003016;-2882.870;9.644;40
2.000005429;-3924.464;9.904;40
2.000007842;-4660.748;10.134;40
2.000012668;-5547.108;10.511;40
2.000017494;-6145.007;10.831;40
2.000027147;-6813.041;11.331;40
2.000046451;-7367.503;12.152;40
2.000065755;-7549.551;12.995;40
2.000104363;-7443.069;14.795;40
2.000142972;-7213.025;16.425;40
2.000220189;-6788.196;18.638;40
2.000374623;-6227.033;20.986;40
2.000529056;-5845.272;22.394;40
2.000837924;-5387.071;23.940;40
2.001146791;-5080.546;24.926;40
2.001764527;-4709.183;26.083;40
2.002999997;-4302.836;27.319;40
2.004235467;-4046.519;28.090;40
2.006706407;-3753.786;28.963;40
2.011648288;-3449.639;29.865;40
2.016590169;-3261.836;30.419;40
2.026473931;-3047.028;31.052;40
2.046241454;-2822.659;31.713;40
2.066008977;-2684.444;32.119;40
2.105544024;-2526.935;32.582;40
2.184614117;-2360.746;33.070;40
2.342754303;-2194.160;33.558;40
2.500000000;-2091.771;33.858;40
2.500000078;393.466;34.094;2
2.500000156;286.698;34.047;2
2.500000311;590.170;34.032;2
2.500000622;1188.200;33.970;2
2.500001244;1948.982;33.870;2
2.500001867;2550.448;33.783;2
2.500003111;3376.313;33.625;2
2.500005600;4426.089;33.357;2
2.500008089;5158.483;33.124;2
2.500013067;6040.799;32.740;2
2.500018045;6632.982;32.416;2
2.500028000;7292.341;31.909;2
2.500047912;7825.532;31.065;2
2.500067823;7989.425;30.189;2
2.500107645;7860.912;28.339;2
2.500147468;7620.741;26.691;2
2.500227113;7190.561;24.488;2
2.500386404;6628.941;22.165;2
2.500545694;6248.414;20.773;2
2.500864275;5792.576;19.243;2
2.501182855;5487.854;18.265;2
2.501820017;5118.792;17.118;2
2.503094339;4715.157;15.891;2
2.504368662;4460.717;15.126;2
2.506917307;4170.259;14.260;2
2.512014598;3868.242;13.366;2
2.517111889;3681.555;12.814;2
2.527306471;3467.831;12.184;2
2.547695634;3244.269;11.527;2
2.568084797;3106.239;11.121;2
2.608863123;2948.206;10.656;2
2.690419776;2779.972;10.162;2
2.853533081;2608.521;9.660;2
3.000000000;2509.017;9.368;40
3.000000075;37.228;9.131;40
3.000000151;144.911;9.179;40
3.000000302;-151.518;9.191;40
3.000000603;-746.249;9.253;40
3.000001206;-1491.484;9.351;40
3.000001810;-2086.980;9.436;40
3.000003016;-2901.063;9.591;40
3.000005429;-3943.006;9.851;40
3.000007842;-4677.701;10.081;40
3.000012668;-5565.659;10.458;40
3.000017494;-6163.144;10.778;40
3.000027146;-6831.254;11.278;40
3.000046450;-7385.582;12.099;40
3.000065754;-7567.706;12.941;40
3.000104361;-7461.323;14.742;40
3.000142969;-7231.245;16.372;40
3.000220184;-6806.421;18.585;40
3.000374615;-6245.246;20.933;40
3.000529045;-5863.488;22.341;40
3.000837907;-5405.284;23.886;40
3.001146768;-5098.755;24.873;40
3.001764490;-4727.383;26.030;40
3.002999935;-4321.022;27.266;40
3.004235380;-4064.691;28.037;40
3.006706269;-3771.932;28.910;40
3.011648049;-3467.733;29.812;40
3.016589828;-3279.880;30.367;40
3.026473386;-3064.973;31.000;40
3.046240503;-2840.411;31.661;40
3.066007620;-2702.008;32.068;40
3.105541853;-2544.140;32.532;40
3.184610321;-2377.287;33.022;40
3.342747255;-2209.554;33.513;40
3.500000000;-2106.166;33.816;40
3.500000078;379.061;34.052;2
3.500000156;272.321;34.005;2
3.500000311;575.778;33.990;2
3.500000622;1173.831;33.928;2
3.500001244;1934.659;33.828;2
3.500001867;2536.110;33.741;2
3.500003111;3362.063;33.583;2
3.500005600;4411.878;33.315;2
3.500008089;5143.898;33.081;2
3.500013067;6026.328;32.698;2
3.500018044;6618.558;32.374;2
3.500028000;7277.914;31.867;2
3.500047911;7810.979;31.023;2
3.500067822;7974.941;30.147;2
3.500107644;7846.431;28.297;2
3.500147466;7606.341;26.649;2
3.500227110;7176.203;24.446;2
3.500386398;6614.544;22.123;2
3.500545686;6234.041;20.731;2
3.500864262;5778.201;19.201;2
3.501182838;5473.480;18.223;2
3.501819990;5104.421;17.076;2
3.503094295;4700.793;15.849;2
3.504368599;4446.359;15.084;2
3.506917208;4155.916;14.219;2
3.512014426;3853.930;13.324;2
3.517111644;3667.275;12.772;2
3.527306079;3453.613;12.143;2
