% Freezing point [°C]	Ethanol concentration [wt-%]	Temperature [°C]	Density [kg/m³]	Specific heat capacity [J/kg*K]	Thermal conductivity [W/m*K]	Dynamic viscosity [mPa*s]
0.000	0	40.000	992.200	4177	0.631	0.653
0.000	0	30.000	995.700	4177	0.615	0.798
0.000	0	20.000	998.200	4181	0.598	1.002
0.000	0	10.000	999.700	4192	0.580	1.306
0.000	0	0.000	999.900	4218	0.561	1.792
-2.090	5	40.000	983.100	4235	0.588	0.770
-2.090	5	30.000	986.600	4235	0.576	0.960
-2.090	5	20.000	989.500	4240	0.562	1.240
-2.090	5	10.000	990.800	4270	0.548	1.700
-2.090	5	0.000	991.400	4325	0.532	2.450
-2.090	5	-2.090	991.200	4340	0.528	2.700
-4.470	10	40.000	974.900	4270	0.554	0.900
-4.470	10	30.000	978.700	4270	0.542	1.160
-4.470	10	20.000	982.000	4280	0.529	1.530
-4.470	10	10.000	983.800	4310	0.516	2.170
-4.470	10	0.000	984.900	4360	0.503	3.250
-4.470	10	-4.470	985.100	4390	0.498	4.200
-7.360	15	40.000	966.800	4320	0.518	1.030
-7.360	15	30.000	971.200	4310	0.507	1.350
-7.360	15	20.000	975.200	4320	0.496	1.840
-7.360	15	10.000	978.000	4340	0.485	2.700
-7.360	15	0.000	979.900	4370	0.474	4.200
-7.360	15	-7.360	980.500	4410	0.466	6.500
-10.920	20	40.000	958.800	4315	0.484	1.160
-10.920	20	30.000	963.800	4310	0.475	1.550
-10.920	20	20.000	968.800	4310	0.466	2.160
-10.920	20	10.000	972.500	4330	0.457	3.220
-10.920	20	0.000	975.700	4360	0.448	5.150
-10.920	20	-10.000	977.800	4385	0.439	9.700
-10.920	20	-10.900	978.000	4390	0.438	10.300
-15.450	25	40.000	950.500	4310	0.454	1.270
-15.450	25	30.000	957.000	4300	0.446	1.730
-15.450	25	20.000	962.000	4290	0.438	2.450
-15.450	25	10.000	967.000	4280	0.430	3.710
-15.450	25	0.000	971.000	4270	0.422	6.100
-15.450	25	-10.000	974.500	4260	0.414	11.000
-15.450	25	-15.450	975.500	4254	0.410	17.000
-20.470	30	40.000	940.800	4240	0.423	1.360
-20.470	30	30.000	948.000	4240	0.417	1.860
-20.470	30	20.000	954.000	4230	0.411	2.680
-20.470	30	10.000	960.000	4200	0.405	4.080
-20.470	30	0.000	965.400	4170	0.398	6.800
-20.470	30	-10.000	969.500	4120	0.391	12.200
-20.470	30	-20.000	972.900	4050	0.385	25.000
-20.470	30	-20.470	973.000	4045	0.385	26.000
-29.300	40	40.000	920.100	4120	0.369	1.470
-29.300	40	30.000	927.700	4080	0.365	2.010
-29.300	40	20.000	935.100	4030	0.361	2.900
-29.300	40	10.000	942.500	3970	0.357	4.350
-29.300	40	0.000	949.400	3900	0.352	7.050
-29.300	40	-10.000	956.000	3810	0.348	12.500
-29.300	40	-20.000	962.300	3710	0.344	24.500
-29.300	40	-29.300	967.500	3610	0.340	50.000
-37.700	50	40.000	897.600	3950	0.322	1.480
-37.700	50	30.000	905.800	3890	0.320	2.000
-37.700	50	20.000	914.000	3820	0.317	2.840
-37.700	50	10.000	921.300	3730	0.315	4.200
-37.700	50	0.000	929.400	3630	0.312	6.600
-37.700	50	-10.000	937.000	3510	0.309	11.000
-37.700	50	-20.000	945.000	3370	0.307	20.000
-37.700	50	-30.000	953.000	3230	0.304	41.000
-37.700	50	-37.700	959.000	3110	0.302	75.000
-44.900	60	40.000	874.300	3690	0.280	1.440
-44.900	60	30.000	882.700	3630	0.279	1.920
-44.900	60	20.000	891.300	3550	0.278	2.650
-44.900	60	10.000	899.300	3450	0.277	3.780
-44.900	60	0.000	907.300	3330	0.276	5.750
-44.900	60	-10.000	915.500	3200	0.275	8.850
-44.900	60	-20.000	923.500	3050	0.274	14.700
-44.900	60	-30.000	931.700	2880	0.273	26.500
-44.900	60	-40.000	940.000	2710	0.272	55.000
-44.900	60	-44.900	943.700	2630	0.272	85.000
